patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
12.10,Yoru,4,1,0.0,0.0,6.316887613897137,6.7550939356154345,5.33515329337618
12.10,Killjoy,35,2,0.0,0.0,31.08818340535781,31.115137638206036,31.115137638206036
12.10,Veto,1,1,0.0,0.0,16.0,16.0,16.0
12.10,Clove,4,1,0.0,0.0,66.38606760517354,66.76259753996442,66.76259753996442
12.11,Jett,44,5,0.0,0.0,37.50900590354162,37.8663158899305,37.8663158899305
12.11,Sova,45,5,0.0,0.0,32.79130985195724,32.9093690572903,32.9093690572903
12.11,Harbor,15,4,0.0,0.0,38.64662716439557,38.19254251466066,38.19254251466066
12.11,Viper,33,4,0.0,0.0,47.08134215953088,47.40817652321939,47.40817652321939
12.11,Phoenix,36,7,0.0,0.0,31.884338550940413,31.44523106082651,31.44523106082651
12.11,Waylay,15,2,0.0,0.0,27.092041896184398,27.301161948926634,27.301161948926634
12.11,Astra,12,5,0.0,0.0,30.533884831605214,30.515393247920343,30.515393247920343
12.11,Kayo,10,1,0.0,0.0,25.863213767604776,25.647143479564562,25.647143479564562
12.11,Neon,33,3,0.0,0.0,62.02759005870865,61.90881003727969,62.43929717967819
12.11,Fade,32,5,0.0,0.0,46.070033303429746,45.357052036758816,45.357052036758816
12.11,Chamber,10,4,0.0,0.0,28.66649740215139,29.91858580492252,29.91858580492252
